,group,Pig,Tissue,Day,Treatment,Genus,value,All,value2,percent_tot
136,SRD129_P170_N_D0,170,N,0,Control,Moraxella,0.390856241,0_Control,3.90856241,39.0856241
137,SRD129_P170_N_D1,170,N,1,Control,Moraxella,0.304144905,1_Control,3.04144905,30.4144905
138,SRD129_P170_N_D10,170,N,10,Control,Moraxella,0.483882131,10_Control,4.838821313,48.38821313
139,SRD129_P170_N_D14,170,N,14,Control,Moraxella,0.301886227,14_Control,3.018862266,30.18862266
140,SRD129_P170_N_D21,170,N,21,Control,Moraxella,0.328609227,21_Control,3.286092272,32.86092272
141,SRD129_P170_N_D3,170,N,3,Control,Moraxella,0.338172557,3_Control,3.381725565,33.81725565
142,SRD129_P170_N_D36,170,N,36,Control,Moraxella,0.396250659,36_Control,3.962506589,39.62506589
143,SRD129_P170_N_D42,170,N,42,Control,Moraxella,0.101773065,42_Control,1.017730645,10.17730645
144,SRD129_P170_N_D7,170,N,7,Control,Moraxella,0.273166541,7_Control,2.731665414,27.31665414
145,SRD129_P171_N_D0,171,N,0,Control,Moraxella,0.537740213,0_Control,5.377402128,53.77402128
146,SRD129_P171_N_D1,171,N,1,Control,Moraxella,0.327359538,1_Control,3.273595381,32.73595381
147,SRD129_P171_N_D10,171,N,10,Control,Moraxella,0.497368934,10_Control,4.973689339,49.73689339
148,SRD129_P171_N_D14,171,N,14,Control,Moraxella,0.317455641,14_Control,3.174556407,31.74556407
149,SRD129_P171_N_D21,171,N,21,Control,Moraxella,0.345054171,21_Control,3.450541714,34.50541714
150,SRD129_P171_N_D3,171,N,3,Control,Moraxella,0.339826286,3_Control,3.398262856,33.98262856
151,SRD129_P171_N_D36,171,N,36,Control,Moraxella,0.250431315,36_Control,2.504313154,25.04313154
152,SRD129_P171_N_D42,171,N,42,Control,Moraxella,0.162968578,42_Control,1.629685777,16.29685777
153,SRD129_P171_N_D7,171,N,7,Control,Moraxella,0.355141143,7_Control,3.551411428,35.51411428
154,SRD129_P152_N_D0,152,N,0,IAV,Actinobacillus,0.169757332,0_IAV,2.425104747,16.97573323
155,SRD129_P152_N_D1,152,N,1,IAV,Actinobacillus,0.243084008,1_IAV,3.472628682,24.30840077
156,SRD129_P152_N_D10,152,N,10,IAV,Actinobacillus,0.147457833,10_IAV,2.106540468,14.74578328
157,SRD129_P152_N_D14,152,N,14,IAV,Actinobacillus,0.253916296,14_IAV,3.627375664,25.39162965
158,SRD129_P152_N_D21,152,N,21,IAV,Actinobacillus,0.155059814,21_IAV,2.215140197,15.50598138
159,SRD129_P152_N_D3,152,N,3,IAV,Actinobacillus,0.071359415,3_IAV,1.019420211,7.135941478
160,SRD129_P152_N_D36,152,N,36,IAV,Actinobacillus,0.002802328,36_IAV,0.040033258,0.280232809
161,SRD129_P152_N_D42,152,N,42,IAV,Actinobacillus,0.002739054,42_IAV,0.039129343,0.2739054
162,SRD129_P152_N_D7,152,N,7,IAV,Actinobacillus,0.189560332,7_IAV,2.708004748,18.95603324
163,SRD129_P153_N_D0,153,N,0,IAV,Actinobacillus,0.281978852,0_IAV,4.028269308,28.19788516
164,SRD129_P153_N_D1,153,N,1,IAV,Actinobacillus,0.374190647,1_IAV,5.345580678,37.41906475
165,SRD129_P153_N_D10,153,N,10,IAV,Actinobacillus,0.165050542,10_IAV,2.357864886,16.5050542
166,SRD129_P153_N_D14,153,N,14,IAV,Actinobacillus,0.111515091,14_IAV,1.593072731,11.15150911
167,SRD129_P153_N_D21,153,N,21,IAV,Actinobacillus,0.017560671,21_IAV,0.250866732,1.756067123
168,SRD129_P153_N_D3,153,N,3,IAV,Actinobacillus,0.270205769,3_IAV,3.860082407,27.02057685
